,sigma_e,sigma_eta,delta,share_sigma_e,share_sigma_eta,share_delta
VR_SLOPE_10_50_D5,2.0690682163957317,1.6409997276273522,2.086094153303363,0.3569721104504235,0.2831183290032556,0.3599095605461483
VR_AREA_DEF_5_50_D5,0.4055312108410704,0.3234833775928366,0.8116668227135256,0.2632154888782523,0.2099612387428691,0.5268232723782293
ACF_LAG1_D5,0.3682818506856345,0.33493316072238977,0.8360106128772089,0.23926437091145328,0.2175984829239731,0.543137146163924
ACF_LAG2_D5,0.24671428240112572,0.18717777145467543,0.6233455252494717,0.23335746598194476,0.17704419059044857,0.5895983434266607
ACF_LAG3_D5,0.7088287419390158,0.5732838370688105,1.0535998591422113,0.3034743191675292,0.2454428155216851,0.4510828653103575
ACF_LAG4_D5,1.9358998810293222,1.5715181644871623,2.271206724792222,0.3350104839781053,0.2719536614596515,0.3930358545620702
ACF_LAG5_D5,3.3242830780476442,2.6521929470875523,3.2456242857559103,0.3604691953004865,0.2875909887853942,0.3519398159140108
MA3_VAR_D5,0.9802954691474722,0.025533461720887645,0.10674882176929817,0.8811028863578684,0.022949822302603937,0.09594729133862875
MA3_VAR_over_RV1_D5,0.37181574648405136,0.3293156808419243,0.8420285902351279,0.24094438830228948,0.21340345595668025,0.5456521557403822
MA5_VAR_D5,1.0351007112699353,0.01877968553216217,0.062767077819661,0.9269717926148783,0.01681791788272891,0.05621028950149719
MA5_VAR_over_RV1_D5,0.35321495649985796,0.3020035966556533,0.7923111581245115,0.24401223252769902,0.20863378091796725,0.5473539865536429
MA8_VAR_D5,1.0207980480678023,0.015669766413302814,0.03933701912039656,0.9488691779246794,0.014565621871050845,0.0365652002033402
MA8_VAR_over_RV1_D5,0.3538236433853144,0.30012862992940453,0.7925030362886841,0.24461429332516538,0.20749250110706005,0.5478932055670831
VR_SLOPE_10_50_CONTR_D5_minus_D1,0.3109034641420359,0.2646677844175306,0.6626657944551467,0.2510855784001048,0.21374565226455747,0.5351687693345298
ACFCONTR_L1_D5_minus_D1,0.848657421591027,0.8605182673941618,1.120945319980471,0.29986612547740166,0.3040570578670614,0.39607681665518363
ACFCONTR_L2_D5_minus_D1,0.5350470334031927,0.523885257483338,1.1942526340014028,0.2374625480105974,0.23250877089423183,0.5300286810947269
ACFCONTR_L3_D5_minus_D1,0.3914210539011474,0.3639785737055518,1.0163092643414817,0.22092853723306524,0.20543926564883552,0.5736321971175348
ACFCONTR_L4_D5_minus_D1,0.3600922926183305,0.31286421045773644,0.9564045553760482,0.22100214728354645,0.19201650170451715,0.5869813510113226
ACFCONTR_L5_D5_minus_D1,0.32211619800608127,0.26605346722539797,0.8029148300918144,0.23155760781518062,0.19125615167134385,0.5771862405127566
MA3_VAR_over_RV1_CONTR_D5_minus_D1,0.733555355192616,0.7394754744398516,1.1013347682393109,0.28494606818812346,0.287245710186186,0.427808221625302
MA5_VAR_over_RV1_CONTR_D5_minus_D1,0.6250257307925832,0.6259649629822452,1.0798795705663562,0.268151231046305,0.2685541844856407,0.4632945844676252
MA8_VAR_over_RV1_CONTR_D5_minus_D1,0.5195334530271618,0.5265454295653451,1.0624950971927207,0.2463909058954779,0.2497163649997841,0.5038927291042636
VR10_D8,0.42162788063557455,0.3135420101665465,0.7947042584035494,0.27559644749485657,0.20494627635164395,0.5194572761528458
VR50_D8,0.64934369520523,0.4333204666441473,0.9076325241798268,0.32625472361127966,0.21771651919314475,0.4560287571950732
VR_SLOPE_10_50_D8,3.0327350700697644,2.32371837293523,2.390459751881416,0.39147657831911986,0.2999540997140348,0.30856932196671627
VR_AREA_DEF_5_50_D8,0.43817171706903973,0.31098167090297796,0.7385510190386486,0.2945287484556088,0.20903458337375164,0.4964366681699673
ACF_LAG1_D8,0.32149186017888426,0.26329890244458987,0.7397281662271776,0.2427234924136685,0.19878832737624072,0.5584881802093357
ACF_LAG2_D8,0.5892665125384973,0.43872130146009575,0.9379686160559371,0.2997352858536407,0.22315921896992585,0.4771054951759248
ACF_LAG3_D8,2.7537927063004317,2.2172846941033213,3.0059995713211394,0.3452132549379965,0.2779570388956141,0.376829706166264
ACF_LAG4_D8,3.185100725446565,2.50684139168622,2.970957225893547,0.36767144570486276,0.2893767193201832,0.34295183497483855
ACF_LAG5_D8,3.5943493440352254,3.207703301338641,3.1505275398349544,0.3611474891080668,0.3222986644313096,0.31655384646052315
MA3_VAR_D8,1.0389781778150626,0.019441910120876187,0.06447004883435194,0.925271443564813,0.01731416946699577,0.05741438696730055
MA3_VAR_over_RV1_D8,0.33511669477453854,0.2805372227433752,0.765431009732583,0.24264742027230413,0.20312814744975427,0.5542244322772175
MA5_VAR_D8,1.021402878231485,0.015651328319990918,0.038738833699154596,0.9494417978318362,0.014548642475257171,0.03600955969197708
MA5_VAR_over_RV1_D8,0.35857572225924267,0.28867734094403286,0.7655120303125323,0.2538112839174396,0.20433498977910472,0.5418537263027479
MA8_VAR_D8,1.0221837944825953,0.014992038667095173,0.026917193297924916,0.9606150675511039,0.014089030088967633,0.02529590235898866
MA8_VAR_over_RV1_D8,0.4002995255490274,0.30075228327831016,0.7850263620099783,0.2693663990254384,0.202379854021173,0.5282537469527157
VR_SLOPE_10_50_CONTR_D8_minus_D1,0.3370146205947495,0.2803932228459788,0.6882733813540682,0.25811401297239095,0.21474860595458986,0.5271373810722533
ACFCONTR_L1_D8_minus_D1,0.8115590981055515,0.8169888630954941,1.1467410327263752,0.2924232755150986,0.29437974383310855,0.4131969806514324
ACFCONTR_L2_D8_minus_D1,0.5314229728566219,0.5131214427448864,1.20842357135668,0.2358768415408685,0.22775354364330852,0.5363696148153791
ACFCONTR_L3_D8_minus_D1,0.3795464242333725,0.34905871661938886,0.9599582331961798,0.22477475827457272,0.20671934615174534,0.5685058955730896
ACFCONTR_L4_D8_minus_D1,0.3328650927099554,0.28532194152418966,0.8226886254943544,0.23101583433815884,0.19801982190312944,0.5709643437580176
ACFCONTR_L5_D8_minus_D1,0.3155857931169074,0.25928064937546885,0.6917667017497335,0.2491532726356131,0.2047006669246799,0.5461460604389174
MA3_VAR_over_RV1_CONTR_D8_minus_D1,0.7060750136637807,0.7161566729945472,1.077662841914271,0.28244192128643764,0.2864747551582406,0.43108332355492157
MA5_VAR_over_RV1_CONTR_D8_minus_D1,0.6000207575215663,0.6027134527948909,1.0494672790162025,0.2664152210018694,0.2676108046501695,0.4659739743475171
MA8_VAR_over_RV1_CONTR_D8_minus_D1,0.5094734395695677,0.5000430080392652,1.0565442588354912,0.24659170854961052,0.2420272581920372,0.5113810332578684
