,sigma_e,sigma_eta,delta
ACF_LAG4_Z,0.03320491260207791,0.030063137803296572,0.06832728938931046
COV_LAG4,8.300122998607194e-05,1.2628199377982182e-05,5.515247699290812e-05
ACF_LAG5_Z,0.021113725731643336,0.01922849893409806,0.046461933558071294
COV_LAG5,4.957367764570793e-05,9.373014025943489e-06,3.678617273339505e-05
NEG_ACF_MASS_L1_5_log1p,0.002178384177334669,0.0012584839198475231,0.010268965509646122
AR1_PHI,0.2174062371934875,0.21512959247894892,0.2274995217439697
AR1_RESID_VAR,0.0006658727470386636,0.0004680465458763145,0.0006585689820323357
AR1_R2,0.08256210556096466,0.08298783395550832,0.12192946632745211
ACCVAR_NORM_g1_log1p,0.12285696771824106,0.1220158945025096,0.12847456784747785
ACC3VAR_NORM_g1_log1p,0.146349469987819,0.14306427140961803,0.1359099972413223
ACC3_OVER_ACC2_RATIO_g1_log1p,0.029045285695896726,0.028786196765570052,0.03116071692721116
ACCVAR_NORM_g2_log1p,0.025261440645260792,0.024082565441475367,0.06588347471534906
ACC3VAR_NORM_g2_log1p,0.04413400382957654,0.043147806093505964,0.08926329830455054
ACC3_OVER_ACC2_RATIO_g2_log1p,0.031146076989904313,0.030856626934618315,0.04295660368280546
ACCVAR_NORM_g4_log1p,0.08007037216085827,0.0774500554783539,0.1668553732119526
ACC3VAR_NORM_g4_log1p,0.06435658269004627,0.06272467311747815,0.1464492348958594
ACC3_OVER_ACC2_RATIO_g4_log1p,0.02256032124231659,0.0219479197067775,0.044092088987190727
ACCVAR_NORM_g6_log1p,0.1341553464422925,0.13198174771722274,0.2395628331472765
ACC3VAR_NORM_g6_log1p,0.10579770900266483,0.10259883866786218,0.23214546808227043
ACC3_OVER_ACC2_RATIO_g6_log1p,0.017167877670864938,0.015381728477273402,0.03424390132776121
SPECTRAL_TILT_log1p,0.22758639057190005,0.22283208004203853,0.20753380453499323
